YEAR,ORIGIN,SPOUSE,WEIGHTED_COUNT,UNWEIGHTED_COUNT,TOTAL_BY_ORIGIN,PERCENTAGE
1930,Isle of Man,US-Born,18201.42,904,37544.79,48.48
1930,Italy,Albania,423.92,21,153948.18000000002,0.28
1930,Italy,Austria-Hungary (ns),524.65,26,153948.18000000002,0.34
1930,Italy,Ireland,504.0,25,153948.18000000002,0.33
1930,Italy,Italy,124576.46,6168,153948.18000000002,80.92
1930,Italy,Poland,1109.75,55,153948.18000000002,0.72
1930,Italy,Romania,6555.77,325,153948.18000000002,4.26
1930,Italy,Spain,6342.77,314,153948.18000000002,4.12
1930,Italy,US-Born,13910.86,689,153948.18000000002,9.04
1930,Japan,Japan,78884.3,3916,83863.96,94.06
1930,Japan,US-Born,4979.66,247,83863.96,5.94
1930,Korea,Korea,1571.08,78,1571.08,100.0
1930,Lebanon,Lebanon,29978.64,1482,35109.05,85.39
1930,Lebanon,US-Born,5130.41,254,35109.05,14.61
1930,Mexico,France,706.77,35,324079.62,0.22
1930,Mexico,Iceland,465.26,23,324079.62,0.14
1930,Mexico,Mexico,270936.48,13448,324079.62,83.6
1930,Mexico,US-Born,51971.11,2584,324079.62,16.04
1930,Middle East (ns),Finland,1671.87,83,29613.54,5.65
1930,Middle East (ns),Middle East (ns),24219.34,1200,29613.54,81.78
1930,Middle East (ns),Spain,808.03,40,29613.54,2.73
1930,Middle East (ns),US-Born,2914.3,144,29613.54,9.84
1930,Netherlands,Iceland,462.96,23,74232.41,0.62
1930,Netherlands,Netherlands,57846.12,2876,74232.41,77.93
1930,Netherlands,South America (ns),644.18,32,74232.41,0.87
1930,Netherlands,US-Born,15279.15,761,74232.41,20.58
1930,North Macedonia,North Macedonia,4384.16,218,5332.76,82.21
1930,North Macedonia,US-Born,948.6,47,5332.76,17.79
1930,Northern Ireland,Canada,1154.52,57,208782.81,0.55
1930,Northern Ireland,Channel Islands,441.42,22,208782.81,0.21
1930,Northern Ireland,Code 414,522.89,26,208782.81,0.25
1930,Northern Ireland,England,3411.14,169,208782.81,1.63
1930,Northern Ireland,Ireland,1008.67,50,208782.81,0.48
1930,Northern Ireland,Northern Ireland,117651.92,5846,208782.81,56.35
1930,Northern Ireland,Poland,1973.97,98,208782.81,0.95
1930,Northern Ireland,Scotland,1170.55,58,208782.81,0.56
1930,Northern Ireland,US-Born,67930.61,3379,208782.81,32.54
1930,Northern Ireland,United Kingdom (ns),13517.12,671,208782.81,6.47
1930,Pakistan,Pakistan,2094.44,104,2094.44,100.0
1930,Philippines,Philippines,10274.0,508,13470.15,76.27
1930,Philippines,US-Born,3196.15,158,13470.15,23.73
1930,Poland,Albania,1249.29,62,961615.65,0.13
1930,Poland,Austria,2446.75,121,961615.65,0.25
1930,Poland,Austria-Hungary (ns),12196.95,604,961615.65,1.27
1930,Poland,Born abroad (US parents),630.75,31,961615.65,0.07
1930,Poland,Bulgaria,4156.38,206,961615.65,0.43
1930,Poland,Canada,4746.32,235,961615.65,0.49
1930,Poland,Channel Islands,1707.41,84,961615.65,0.18
1930,Poland,Code 414,4355.13,214,961615.65,0.45
1930,Poland,Czechoslovakia,5418.08,268,961615.65,0.56
1930,Poland,England,3252.88,162,961615.65,0.34
1930,Poland,Finland,686.64,34,961615.65,0.07
1930,Poland,Germany,6826.68,338,961615.65,0.71
1930,Poland,Iceland,2298.88,114,961615.65,0.24
1930,Poland,Ireland,6166.83,305,961615.65,0.64
1930,Poland,Italy,1109.75,55,961615.65,0.12
1930,Poland,Northern Ireland,1973.97,98,961615.65,0.21
1930,Poland,Poland,515263.5,25520,961615.65,53.58
1930,Poland,Romania,8969.59,443,961615.65,0.93
1930,Poland,Spain,7006.42,347,961615.65,0.73
1930,Poland,Switzerland,8102.18,401,961615.65,0.84
1930,Poland,US-Born,358182.46,17747,961615.65,37.25
1930,Poland,United Kingdom (ns),3518.72,175,961615.65,0.37
1930,Poland,Yugoslavia,1350.09,67,961615.65,0.14
1930,Puerto Rico,France,586.22,29,21426.88,2.74
1930,Puerto Rico,Puerto Rico,18274.36,902,21426.88,85.29
1930,Puerto Rico,US-Born,2566.3,127,21426.88,11.98
1930,Romania,Albania,4453.64,220,945144.97,0.47
1930,Romania,Austria-Hungary (ns),7099.9800000000005,352,945144.97,0.75
