YEAR,COUNTRY,n_unweighted,total_weighted,pct_married_us_born,pct_same_country,pct_same_region,pct_different_region
2000,Cambodia,1100.0,24878.0,24.499557842270278,41.00811962376397,5.430500844119302,29.06182168984645
2000,Canada,25288.0,512425.0,62.54690930380056,30.065863297067864,0.0,7.3872273991315796
2000,Central America (ns),41552.0,904425.0,15.033750725599138,68.45432180667275,2.2396550294385937,14.272272438289521
2000,Channel Islands,2814.0,57466.0,61.78783976612257,21.79897678627362,3.203633452824279,13.20954999477952
2000,China,42147.0,920398.0,8.489588199887441,85.98302038900563,0.3413740577445844,5.18601735336235
2000,Code 414,4563.0,95139.0,48.64987018993263,40.72567506490503,1.4757355027906536,9.148719242371687
2000,Cuba,22730.0,479910.0,14.75735033652143,74.39311537579964,3.0101477360338396,7.8393865516451005
2000,Czechoslovakia,2127.0,45137.0,38.63349358619315,41.57121651859893,8.139663690542127,11.655626204665795
2000,Egypt,388.0,8761.0,14.82707453487045,72.30909713503024,3.036183084122817,9.827645245976486
2000,England,932.0,18788.0,60.07558015754737,25.154353842878436,1.9054715776027253,12.86459442197147
2000,Europe (ns),1085.0,22975.0,43.947769314472254,35.78237214363438,0.0,20.269858541893363
2000,Finland,6088.0,132417.0,27.694329277962797,65.07095010459382,0.5407160711993173,6.694004546244062
2000,France,2757.0,59779.0,48.52038341223507,25.840177988925877,0.0,25.63943859883906
2000,Germany,5906.0,123702.0,62.344990380107035,20.410340980744046,0.4866534089990461,16.758015230149876
2000,Hawaii (territory),1296.0,27350.0,61.24314442413162,24.705667276051187,0.680073126142596,13.371115173674589
2000,Hong Kong,3454.0,74687.0,4.508147334877555,85.78199686692464,1.89323443169494,7.816621366502872
2000,Hungary,729.0,16610.0,16.50812763395545,71.13786875376279,1.9566526189042743,10.397350993377485
2000,Iceland,15941.0,338781.0,41.87542984996207,51.31722263054894,0.13666646004350894,6.670681059445482
2000,India,39655.0,898943.0,5.219240819495786,90.38893455981079,0.0,4.391824620693415
2000,Indonesia,471.0,10447.0,32.39207427969752,31.951756485115347,5.475256054369675,30.18091318081746
2000,Iran,3064.0,68469.0,20.736391651696387,59.178606376608386,9.61457009741635,10.470431874278871
2000,Iraq,340.0,7296.0,35.62225877192983,40.85800438596491,3.8103070175438596,19.709429824561404
2000,Ireland,14022.0,288984.0,64.57450931539462,21.976303186335574,0.0,13.449187498269803
2000,Isle of Man,330.0,6803.0,57.886226664706754,13.273555784212848,8.760840805526973,20.079376745553432
2000,Israel,2172.0,51792.0,10.771933889403769,78.47737102255175,4.193697868396663,6.556997219647823
2000,Italy,1368.0,29446.0,28.85621136996536,47.765401073150855,0.3939414521496977,22.98444610473409
2000,Japan,11716.0,249193.0,56.664513048119325,36.23175610871894,0.0,7.103730843161726
2000,Jordan,337.0,7903.0,24.15538403138049,54.3717575604201,9.338225990130331,12.134632418069087
2000,Korea,22299.0,490111.0,18.044891871433204,78.87764200354613,0.0,3.0774661250206585
2000,Laos,1817.0,40963.0,15.357761882674609,51.827258745697335,0.8568708346556649,31.95810853697239
2000,Lebanon,1607.0,35235.0,14.99929047821768,61.91854689938982,12.777068255995458,10.305094366397048
2000,Macau,1748.0,37924.0,28.000738318742748,53.261786731357454,4.759519038076152,13.977955911823647
2000,Malaysia,1083.0,23629.0,5.912226501333108,86.94824156756528,0.07617757839942443,7.063354352702188
2000,Mexico,216886.0,4523418.0,14.833362735878048,82.008118639489,0.0,3.1585186246329657
2000,Middle East (ns),2257.0,49578.0,29.89229093549558,56.63600790673282,2.9145992173948123,10.55710194037678
2000,Myanmar/Burma,5270.0,122193.0,5.113222525021892,88.35694352376977,1.6195690424165048,4.91026490879183
2000,Netherlands,7299.0,143797.0,20.69445120551889,73.10653212514865,0.0,6.199016669332462
