STATEFIP,STATE_NAME,ORIGIN_GROUP,TOTAL_2NDGEN_IN_STATE,GROUP_COUNT_IN_STATE,GROUP_SHARE_PCT,OUTMARRIAGE_RATE,THIRD_GEN_RATE,HERITAGE_RATE,WEIGHTED_N,UNWEIGHTED_N
50,Vermont,Canada,59103.939999999995,34728.59,58.76,33.22,26.95,66.78,34728.59,1350
50,Vermont,Ireland,59103.939999999995,15236.219999999998,25.78,47.44,30.22,52.56,15236.219999999998,627
51,Virginia,Germany,31676.88,12491.86,39.44,69.76,56.71,30.24,12491.86,376
51,Virginia,Ireland,31676.88,7369.400000000001,23.26,64.66,49.59,35.34,7369.400000000001,301
53,Washington,Canada,204044.11,23210.190000000002,11.38,75.99,55.96,24.01,23210.190000000002,646
53,Washington,Denmark,204044.11,7422.679999999999,3.64,84.44,42.15,15.56,7422.679999999999,204
53,Washington,England,204044.11,16535.24,8.1,83.51,56.59,16.49,16535.24,513
53,Washington,Germany,204044.11,54948.94,26.93,70.61,41.02,29.39,54948.94,1619
53,Washington,Ireland,204044.11,21998.489999999998,10.78,70.62,40.24,29.38,21998.489999999998,571
53,Washington,Norway,204044.11,22590.58,11.07,67.31,34.77,32.69,22590.58,709
53,Washington,Russia/USSR,204044.11,5134.46,2.52,43.88,23.17,56.12,5134.46,168
53,Washington,Scotland,204044.11,5344.0599999999995,2.62,94.72,55.72,5.28,5344.0599999999995,176
53,Washington,Sweden,204044.11,20098.11,9.85,75.83,42.74,24.17,20098.11,661
54,West Virginia,Germany,54282.64,24757.67,45.61,60.15,48.05,39.85,24757.67,870
54,West Virginia,Ireland,54282.64,13301.060000000001,24.5,59.36,44.06,40.64,13301.060000000001,533
55,Wisconsin,Austria,1129669.86,16454.8,1.46,46.28,11.66,53.72,16454.8,392
55,Wisconsin,Belgium,1129669.86,14124.349999999999,1.25,37.41,11.65,62.59,14124.349999999999,424
55,Wisconsin,Canada,1129669.86,33795.28,2.99,63.81,28.16,36.19,33795.28,1192
55,Wisconsin,Czechoslovakia,1129669.86,22865.82,2.02,45.49,14.68,54.51,22865.82,783
55,Wisconsin,Denmark,1129669.86,19392.269999999997,1.72,70.14,25.28,29.86,19392.269999999997,606
55,Wisconsin,England,1129669.86,45816.91,4.06,67.92,37.99,32.08,45816.91,1770
55,Wisconsin,France,1129669.86,5306.860000000001,0.47,88.22,26.9,11.78,5306.860000000001,179
55,Wisconsin,Germany,1129669.86,647253.63,57.3,28.66,15.24,71.34,647253.63,20653
55,Wisconsin,Ireland,1129669.86,84165.68,7.45,47.14,17.96,52.86,84165.68,3175
55,Wisconsin,Netherlands,1129669.86,19182.21,1.7,45.1,17.97,54.9,19182.21,609
55,Wisconsin,Norway,1129669.86,98333.54999999999,8.7,38.52,18.5,61.48,98333.54999999999,3170
55,Wisconsin,Poland,1129669.86,55706.36,4.93,31.04,8.83,68.96,55706.36,1577
55,Wisconsin,Scotland,1129669.86,10934.04,0.97,77.19,35.41,22.81,10934.04,380
55,Wisconsin,Sweden,1129669.86,21805.83,1.93,56.83,20.88,43.17,21805.83,731
55,Wisconsin,Switzerland,1129669.86,11654.27,1.03,62.08,20.82,37.92,11654.27,418
55,Wisconsin,Wales,1129669.86,8583.54,0.76,53.6,24.4,46.4,8583.54,331
56,Wyoming,Germany,25715.89,6109.88,23.76,77.74,51.06,22.26,6109.88,194
